Sample_ID,Trt,Block,Year,Substrate,CO2
1,Compost,1,2018,Lignin,0.97
1,Compost,1,2018,Glucosamine,1.21
1,Compost,1,2018,Xylose,2.08
1,Compost,1,2018,Cellulose,0.83
1,Compost,1,2018,Glucose,3.03
1,Compost,1,2018,Water,0.89
2,Control,1,2018,Lignin,0.84
2,Control,1,2018,Glucosamine,1.18
2,Control,1,2018,Xylose,2.13
2,Control,1,2018,Cellulose,0.81
2,Control,1,2018,Glucose,2.38
2,Control,1,2018,Water,0.85
3,Compost,2,2018,Lignin,0.91
3,Compost,2,2018,Glucosamine,1.48
3,Compost,2,2018,Xylose,2.47
3,Compost,2,2018,Cellulose,0.95
3,Compost,2,2018,Glucose,2.91
3,Compost,2,2018,Water,1.03
4,Control,2,2018,Lignin,0.85
4,Control,2,2018,Glucosamine,1.19
4,Control,2,2018,Xylose,2.23
4,Control,2,2018,Cellulose,0.93
4,Control,2,2018,Glucose,2.37
4,Control,2,2018,Water,0.93
5,Compost,3,2018,Lignin,0.93
5,Compost,3,2018,Glucosamine,1.43
5,Compost,3,2018,Xylose,2.94
5,Compost,3,2018,Cellulose,0.91
5,Compost,3,2018,Glucose,2.28
5,Compost,3,2018,Water,0.96
6,Control,3,2018,Lignin,0.92
6,Control,3,2018,Glucosamine,1.1
6,Control,3,2018,Xylose,1.93
6,Control,3,2018,Cellulose,0.87
6,Control,3,2018,Glucose,1.69
6,Control,3,2018,Water,0.81
7,Compost,4,2018,Lignin,0.9
7,Compost,4,2018,Glucosamine,1.68
7,Compost,4,2018,Xylose,2.42
7,Compost,4,2018,Cellulose,0.97
7,Compost,4,2018,Glucose,3.28
7,Compost,4,2018,Water,1.06
8,Control,4,2018,Lignin,0.81
8,Control,4,2018,Glucosamine,1.17
8,Control,4,2018,Xylose,1.81
8,Control,4,2018,Cellulose,0.82
8,Control,4,2018,Glucose,1.53
8,Control,4,2018,Water,0.78
9,Compost,5,2018,Lignin,1.35
9,Compost,5,2018,Glucosamine,1.62
9,Compost,5,2018,Xylose,2.7
9,Compost,5,2018,Cellulose,1.19
9,Compost,5,2018,Glucose,3.25
9,Compost,5,2018,Water,1.04
10,Control,5,2018,Lignin,1.16
10,Control,5,2018,Glucosamine,1.28
10,Control,5,2018,Xylose,1.99
10,Control,5,2018,Cellulose,1.22
10,Control,5,2018,Glucose,2.88
10,Control,5,2018,Water,0.99
11,Compost,6,2018,Lignin,1.15
11,Compost,6,2018,Glucosamine,1.4
11,Compost,6,2018,Xylose,1.91
11,Compost,6,2018,Cellulose,1.06
11,Compost,6,2018,Glucose,2.44
11,Compost,6,2018,Water,1.02
12,Control,6,2018,Lignin,1.2
12,Control,6,2018,Glucosamine,1.5
12,Control,6,2018,Xylose,1.82
12,Control,6,2018,Cellulose,1.04
12,Control,6,2018,Glucose,2.74
12,Control,6,2018,Water,1.03
13,Compost,7,2018,Lignin,1.16
13,Compost,7,2018,Glucosamine,2.1
13,Compost,7,2018,Xylose,3.06
13,Compost,7,2018,Cellulose,1.05
13,Compost,7,2018,Glucose,4.94
13,Compost,7,2018,Water,0.98
14,Control,7,2018,Lignin,1.16
14,Control,7,2018,Glucosamine,1.95
14,Control,7,2018,Xylose,3.48
14,Control,7,2018,Cellulose,1.09
14,Control,7,2018,Glucose,4.56
14,Control,7,2018,Water,1.03
15,Compost,8,2018,Lignin,1.13
15,Compost,8,2018,Glucosamine,2.14
15,Compost,8,2018,Xylose,3.72
15,Compost,8,2018,Cellulose,0.99
15,Compost,8,2018,Glucose,4.87
15,Compost,8,2018,Water,0.95
16,Control,8,2018,Lignin,1.09
16,Control,8,2018,Glucosamine,1.93
16,Control,8,2018,Xylose,3.5
16,Control,8,2018,Cellulose,1
16,Control,8,2018,Glucose,4.33
16,Control,8,2018,Water,0.93
1,Compost,1,2019,Lignin,0.88
1,Compost,1,2019,Glucosamine,1.37
1,Compost,1,2019,Xylose,1.69
1,Compost,1,2019,Cellulose,0.64
1,Compost,1,2019,Glucose,1.49
1,Compost,1,2019,Water,0.58
2,Control,1,2019,Lignin,0.75
2,Control,1,2019,Glucosamine,0.94
2,Control,1,2019,Xylose,1.66
2,Control,1,2019,Cellulose,0.58
2,Control,1,2019,Glucose,1.92
2,Control,1,2019,Water,0.61
3,Compost,2,2019,Lignin,0.69
3,Compost,2,2019,Glucosamine,0.83
3,Compost,2,2019,Xylose,1.81
3,Compost,2,2019,Cellulose,0.5
3,Compost,2,2019,Glucose,1.92
3,Compost,2,2019,Water,0.61
4,Control,2,2019,Lignin,0.52
4,Control,2,2019,Glucosamine,0.89
4,Control,2,2019,Xylose,1.73
4,Control,2,2019,Cellulose,0.48
4,Control,2,2019,Glucose,0.59
4,Control,2,2019,Water,0.53
5,Compost,3,2019,Lignin,0.52
5,Compost,3,2019,Glucosamine,1.26
5,Compost,3,2019,Xylose,0.61
5,Compost,3,2019,Cellulose,0.55
5,Compost,3,2019,Glucose,0.63
5,Compost,3,2019,Water,0.5
6,Control,3,2019,Lignin,0.51
6,Control,3,2019,Glucosamine,0.88
6,Control,3,2019,Xylose,1.05
6,Control,3,2019,Cellulose,0.52
6,Control,3,2019,Glucose,1.89
6,Control,3,2019,Water,0.9
7,Compost,4,2019,Lignin,0.64
7,Compost,4,2019,Glucosamine,0.54
7,Compost,4,2019,Xylose,1.36
7,Compost,4,2019,Cellulose,0.47
7,Compost,4,2019,Glucose,1.24
7,Compost,4,2019,Water,0.53
8,Control,4,2019,Lignin,0.69
8,Control,4,2019,Glucosamine,0.7
8,Control,4,2019,Xylose,0.54
8,Control,4,2019,Cellulose,0.55
8,Control,4,2019,Glucose,1.56
8,Control,4,2019,Water,0.97
9,Compost,5,2019,Lignin,1.13
9,Compost,5,2019,Glucosamine,0.7
9,Compost,5,2019,Xylose,1.95
9,Compost,5,2019,Cellulose,0.77
9,Compost,5,2019,Glucose,2.65
9,Compost,5,2019,Water,0.67
10,Control,5,2019,Lignin,0.96
10,Control,5,2019,Glucosamine,0.96
10,Control,5,2019,Xylose,1.05
10,Control,5,2019,Cellulose,0.95
10,Control,5,2019,Glucose,2.22
10,Control,5,2019,Water,0.66
11,Compost,6,2019,Lignin,0.57
11,Compost,6,2019,Glucosamine,0.85
11,Compost,6,2019,Xylose,1.04
11,Compost,6,2019,Cellulose,0.79
11,Compost,6,2019,Glucose,1.65
11,Compost,6,2019,Water,0.61
12,Control,6,2019,Lignin,0.71
12,Control,6,2019,Glucosamine,1.07
12,Control,6,2019,Xylose,1.44
12,Control,6,2019,Cellulose,0.59
12,Control,6,2019,Glucose,1.09
12,Control,6,2019,Water,0.6
13,Compost,7,2019,Lignin,0.84
13,Compost,7,2019,Glucosamine,1.24
13,Compost,7,2019,Xylose,2.02
13,Compost,7,2019,Cellulose,0.74
13,Compost,7,2019,Glucose,3.18
13,Compost,7,2019,Water,0.71
14,Control,7,2019,Lignin,0.96
14,Control,7,2019,Glucosamine,1.18
14,Control,7,2019,Xylose,1.54
14,Control,7,2019,Cellulose,0.55
14,Control,7,2019,Glucose,2.82
14,Control,7,2019,Water,0.6
15,Compost,8,2019,Lignin,0.87
15,Compost,8,2019,Glucosamine,0.83
15,Compost,8,2019,Xylose,1.62
15,Compost,8,2019,Cellulose,0.72
15,Compost,8,2019,Glucose,1.02
15,Compost,8,2019,Water,0.72
16,Control,8,2019,Lignin,0.58
16,Control,8,2019,Glucosamine,0.87
16,Control,8,2019,Xylose,1.25
16,Control,8,2019,Cellulose,0.76
16,Control,8,2019,Glucose,1.72
16,Control,8,2019,Water,0.67
1,Compost,1,2020,Lignin,0.93
1,Compost,1,2020,Glucosamine,1.45
1,Compost,1,2020,Xylose,2.78
1,Compost,1,2020,Cellulose,0.92
1,Compost,1,2020,Glucose,1.33
1,Compost,1,2020,Water,0.89
2,Control,1,2020,Lignin,0.93
2,Control,1,2020,Glucosamine,1.27
2,Control,1,2020,Xylose,2.22
2,Control,1,2020,Cellulose,0.94
2,Control,1,2020,Glucose,3.22
2,Control,1,2020,Water,0.92
3,Compost,2,2020,Lignin,0.96
3,Compost,2,2020,Glucosamine,1.67
3,Compost,2,2020,Xylose,3.24
3,Compost,2,2020,Cellulose,0.99
3,Compost,2,2020,Glucose,4.06
3,Compost,2,2020,Water,0.95
4,Control,2,2020,Lignin,0.91
4,Control,2,2020,Glucosamine,1.43
4,Control,2,2020,Xylose,2.05
4,Control,2,2020,Cellulose,0.91
4,Control,2,2020,Glucose,2.87
4,Control,2,2020,Water,0.9
5,Compost,3,2020,Lignin,1.09
5,Compost,3,2020,Glucosamine,1.6
5,Compost,3,2020,Xylose,2.61
5,Compost,3,2020,Cellulose,0.97
5,Compost,3,2020,Glucose,2.63
5,Compost,3,2020,Water,0.93
6,Control,3,2020,Lignin,1.04
6,Control,3,2020,Glucosamine,1.35
6,Control,3,2020,Xylose,2.22
6,Control,3,2020,Cellulose,0.95
6,Control,3,2020,Glucose,2.41
6,Control,3,2020,Water,0.94
7,Compost,4,2020,Lignin,1.29
7,Compost,4,2020,Glucosamine,1.37
7,Compost,4,2020,Xylose,2.48
7,Compost,4,2020,Cellulose,0.93
7,Compost,4,2020,Glucose,3.42
7,Compost,4,2020,Water,1.03
8,Control,4,2020,Lignin,0.9
8,Control,4,2020,Glucosamine,1.09
8,Control,4,2020,Xylose,1.86
8,Control,4,2020,Cellulose,0.88
8,Control,4,2020,Glucose,2.35
8,Control,4,2020,Water,0.9
9,Compost,5,2020,Lignin,0.95
9,Compost,5,2020,Glucosamine,1.3
9,Compost,5,2020,Xylose,2
9,Compost,5,2020,Cellulose,0.98
9,Compost,5,2020,Glucose,5.66
9,Compost,5,2020,Water,1.01
10,Control,5,2020,Lignin,1.05
10,Control,5,2020,Glucosamine,1.67
10,Control,5,2020,Xylose,1.99
10,Control,5,2020,Cellulose,0.95
10,Control,5,2020,Glucose,3.35
10,Control,5,2020,Water,1
11,Compost,6,2020,Lignin,0.94
11,Compost,6,2020,Glucosamine,1
11,Compost,6,2020,Xylose,3.52
11,Compost,6,2020,Cellulose,1.09
11,Compost,6,2020,Glucose,3.05
11,Compost,6,2020,Water,1.06
12,Control,6,2020,Lignin,1.01
12,Control,6,2020,Glucosamine,1.42
12,Control,6,2020,Xylose,2.89
12,Control,6,2020,Cellulose,1.07
12,Control,6,2020,Glucose,5.22
12,Control,6,2020,Water,1.04
13,Compost,7,2020,Lignin,0.97
13,Compost,7,2020,Glucosamine,1.53
13,Compost,7,2020,Xylose,3.33
13,Compost,7,2020,Cellulose,1.05
13,Compost,7,2020,Glucose,4.86
13,Compost,7,2020,Water,1.03
14,Control,7,2020,Lignin,1.04
14,Control,7,2020,Glucosamine,1.89
14,Control,7,2020,Xylose,3.22
14,Control,7,2020,Cellulose,1.1
14,Control,7,2020,Glucose,5.43
14,Control,7,2020,Water,1.1
15,Compost,8,2020,Lignin,1
15,Compost,8,2020,Glucosamine,1.52
15,Compost,8,2020,Xylose,2.27
15,Compost,8,2020,Cellulose,0.97
15,Compost,8,2020,Glucose,4.85
15,Compost,8,2020,Water,1.03
16,Control,8,2020,Lignin,1.08
16,Control,8,2020,Glucosamine,1.35
16,Control,8,2020,Xylose,1.64
16,Control,8,2020,Cellulose,1.01
16,Control,8,2020,Glucose,4.52
16,Control,8,2020,Water,1.02