Sample_ID,Trt,Block,Year,Avg_H,Avg_EH,Avg_Richness
1,Compost,1,2018,0.62,0.19,3.5
2,Control,1,2018,0.31,0.1,3
3,Compost,2,2018,0.17,0.05,2
4,Control,2,2018,0.44,0.14,3
5,Compost,3,2018,1.21,0.38,4.5
6,Control,3,2018,0.65,0.2,3.5
7,Compost,4,2018,0.31,0.09,2.5
8,Control,4,2018,0.25,0.08,2.5
9,Compost,5,2018,0.5,0.15,2.5
10,Control,5,2018,0.08,0.03,1.5
11,Compost,6,2018,0.66,0.21,3.5
12,Control,6,2018,0.22,0.07,2
13,Compost,7,2018,0.44,0.14,3
14,Control,7,2018,0.49,0.15,3
15,Compost,8,2018,1.09,0.34,4.5
16,Control,8,2018,1.1,0.34,5
1,Compost,1,2019,0.78,0.62,3.5
2,Control,1,2019,0.08,0.12,1
3,Compost,2,2019,0.18,0.26,1.5
4,Control,2,2019,0.25,0.27,2.5
5,Compost,3,2019,1.34,0.84,5
6,Control,3,2019,0.27,0.39,2
7,Compost,4,2019,0.57,0.41,2.5
8,Control,4,2019,0.27,0.39,2
9,Compost,5,2019,0.57,0.45,3.5
10,Control,5,2019,0.4,0.29,2.5
11,Compost,6,2019,0.67,0.51,3
12,Control,6,2019,0.42,0.33,3.5
13,Compost,7,2019,0.65,0.47,4
14,Control,7,2019,0.59,0.54,3
15,Compost,8,2019,1.17,0.79,4.5
16,Control,8,2019,0.63,0.5,3.5
1,Compost,1,2020,0.35,0.36,2.5
2,Control,1,2020,0.31,0.32,3
3,Compost,2,2020,0.22,0.32,2
4,Control,2,2020,0.22,0.32,2
5,Compost,3,2020,0.97,0.62,5
6,Control,3,2020,0.35,0.42,2.5
7,Compost,4,2020,0.32,0.47,2
8,Control,4,2020,0.31,0.35,2.5
9,Compost,5,2020,0.52,0.54,3
10,Control,5,2020,0.27,0.39,2
11,Compost,6,2020,0.35,0.33,2
12,Control,6,2020,0.08,0.12,1.5
13,Compost,7,2020,0.4,0.41,2.5
14,Control,7,2020,0.39,0.35,3
15,Compost,8,2020,0.6,0.44,4
16,Control,8,2020,0.47,0.5,2.5