Sample_ID,Trt,Block,Year,shoot.biomass.Mg.C.ha,root.biomass.Mg.C.ha,soc.Mg.ha,actino.nmol.g,glucose.micro.g.co2-c.g.hr,xylose.micro.g.co2-c.g.hr,pH,clay.percent,P.g.kg,K.g.kg,plant.EH
1,Compost,1,2018,2.15,4.23,25.17,32.52,3.03,2.08,7.8,38,0.051,0.176,0.19
2,Control,1,2018,1.17,2.87,23.72,25.3,2.38,2.13,8,36,0.01,0.14,0.1
3,Compost,2,2018,1.85,2.63,23.52,31.39,2.91,2.47,8.1,36,0.019,0.152,0.05
4,Control,2,2018,1.05,3.23,21.95,21.07,2.37,2.23,8.1,32,0.013,0.153,0.14
5,Compost,3,2018,2.04,1.44,19.42,34.16,2.28,2.94,7.9,32,0.061,0.21,0.38
6,Control,3,2018,1.18,1.89,16.51,36.02,1.69,1.93,8.1,34,0.024,0.196,0.2
7,Compost,4,2018,1.7,3.29,20.64,27.34,3.28,2.42,7.8,36,0.032,0.192,0.09
8,Control,4,2018,0.93,1.7,18.73,49.83,1.53,1.81,7.8,34,0.013,0.152,0.08
9,Compost,5,2018,1.63,2.29,20.75,25.76,3.25,2.7,7.9,32,0.048,0.174,0.15
10,Control,5,2018,1.22,1.74,19.02,48.02,2.88,1.99,8.1,32,0.021,0.14,0.03
11,Compost,6,2018,1.57,2.84,20.69,59.62,2.44,1.91,8.1,30,0.043,0.216,0.21
12,Control,6,2018,1.17,1.19,20.45,21.6,2.74,1.82,8.1,32,0.016,0.195,0.07
13,Compost,7,2018,2.09,1.46,25.34,53.41,4.94,3.06,7.8,42,0.048,0.358,0.14
14,Control,7,2018,1.81,2.14,25.19,63.34,4.56,3.48,7.9,42,0.029,0.241,0.15
15,Compost,8,2018,1.71,2.74,22.9,48.86,4.87,3.72,7.8,34,0.033,0.263,0.34
16,Control,8,2018,1.98,1.56,21.28,45.42,4.33,3.5,8.1,32,0.021,0.193,0.34
1,Compost,1,2019,1.57,3.58,,28.82,1.49,1.69,7.9,38,0.035,0.145,0.62
2,Control,1,2019,1.43,2.01,,28.97,1.92,1.66,7.9,36,0.01,0.158,0.12
3,Compost,2,2019,1.91,1.41,,32.7,1.92,1.81,7.8,36,0.017,0.13,0.26
4,Control,2,2019,1.21,1.69,,20.62,0.59,1.73,7.9,32,0.01,0.145,0.27
5,Compost,3,2019,1.14,2.88,,30,0.63,0.61,7.9,32,0.039,0.234,0.84
6,Control,3,2019,0.97,2.26,,54.57,1.89,1.05,7.9,34,0.015,0.189,0.39
7,Compost,4,2019,1.01,1.33,,43.74,1.24,1.36,7.8,36,0.019,0.178,0.41
8,Control,4,2019,0.75,1.51,,34.37,1.56,0.54,7.8,34,0.009,0.172,0.39
9,Compost,5,2019,1.12,2.42,,38.85,2.65,1.95,7.8,32,0.03,0.219,0.45
10,Control,5,2019,0.85,1.7,,29.72,2.22,1.05,8,32,0.01,0.14,0.29
11,Compost,6,2019,0.94,1.38,,20.35,1.65,1.04,7.9,30,0.025,0.188,0.51
12,Control,6,2019,0.92,1.92,,25.85,1.09,1.44,7.9,32,0.014,0.159,0.33
13,Compost,7,2019,0.95,1.04,,43.84,3.18,2.02,7.6,42,0.068,0.37,0.47
14,Control,7,2019,1.15,0.77,,41.61,2.82,1.54,7.7,42,0.018,0.235,0.54
15,Compost,8,2019,1.4,2.33,,35.99,1.02,1.62,7.6,34,0.031,0.258,0.79
16,Control,8,2019,1.26,1.23,,30.52,1.72,1.25,7.9,32,0.02,0.251,0.5
1,Compost,1,2020,2.05,0.84,30.67,179.49,1.33,2.78,7.8,38,0.08,0.197,0.36
2,Control,1,2020,1.26,0.86,25.64,80.61,3.22,2.22,7.9,36,0.01,0.159,0.32
3,Compost,2,2020,1.85,0.93,25.59,101.36,4.06,3.24,7.9,36,0.026,0.15,0.32
4,Control,2,2020,1.08,1.07,23.46,91.13,2.87,2.05,8,32,0.01,0.184,0.32
5,Compost,3,2020,2.31,1.24,24.1,141.94,2.63,2.61,7.8,32,0.033,0.214,0.62
6,Control,3,2020,1.71,0.75,21.12,91.45,2.41,2.22,8,34,0.016,0.185,0.42
7,Compost,4,2020,1.75,0.76,26.38,75.09,3.42,2.48,7.9,36,0.022,0.186,0.47
8,Control,4,2020,1.07,0.63,21.31,82.18,2.35,1.86,7.9,34,0.016,0.165,0.35
9,Compost,5,2020,1.73,1.12,22.93,114.56,5.66,2,7.8,32,0.025,0.207,0.54
10,Control,5,2020,1.66,0.68,20.2,0,3.35,1.99,7.9,32,0.009,0.142,0.39
11,Compost,6,2020,1.47,1.05,23.04,18.07,3.05,3.52,7.9,30,0.034,0.305,0.33
12,Control,6,2020,1.17,0.97,22.11,42.12,5.22,2.89,8,32,0.015,0.177,0.12
13,Compost,7,2020,2.05,0.7,29.88,98.52,4.86,3.33,7.7,42,0.063,0.329,0.41
14,Control,7,2020,2.2,0.85,25.89,93.65,5.43,3.22,7.7,42,0.028,0.278,0.35
15,Compost,8,2020,2.83,0.59,26.97,90.34,4.85,2.27,7.7,34,0.029,0.308,0.44
16,Control,8,2020,1.75,0.98,22.43,101.51,4.52,1.64,7.9,32,0.016,0.188,0.5