Sample_ID,Trt,Block,Year,Biomass_C
1,Compost,1,2018,2.15
2,Control,1,2018,1.17
3,Compost,2,2018,1.85
4,Control,2,2018,1.05
5,Compost,3,2018,2.04
6,Control,3,2018,1.18
7,Compost,4,2018,1.7
8,Control,4,2018,0.93
9,Compost,5,2018,1.63
10,Control,5,2018,1.22
11,Compost,6,2018,1.57
12,Control,6,2018,1.17
13,Compost,7,2018,2.09
14,Control,7,2018,1.81
15,Compost,8,2018,1.71
16,Control,8,2018,1.98
1,Compost,1,2019,1.57
2,Control,1,2019,1.43
3,Compost,2,2019,1.91
4,Control,2,2019,1.21
5,Compost,3,2019,1.14
6,Control,3,2019,0.97
7,Compost,4,2019,1.01
8,Control,4,2019,0.75
9,Compost,5,2019,1.12
10,Control,5,2019,0.85
11,Compost,6,2019,0.94
12,Control,6,2019,0.92
13,Compost,7,2019,0.95
14,Control,7,2019,1.15
15,Compost,8,2019,1.4
16,Control,8,2019,1.26
1,Compost,1,2020,2.05
2,Control,1,2020,1.26
3,Compost,2,2020,1.85
4,Control,2,2020,1.08
5,Compost,3,2020,2.31
6,Control,3,2020,1.71
7,Compost,4,2020,1.75
8,Control,4,2020,1.07
9,Compost,5,2020,1.73
10,Control,5,2020,1.66
11,Compost,6,2020,1.47
12,Control,6,2020,1.17
13,Compost,7,2020,2.05
14,Control,7,2020,2.2
15,Compost,8,2020,2.83
16,Control,8,2020,1.75